avg_utility,avg_time_per_incident,investigation_rate,dismiss_rate,caught_attacks,missed_attacks,total_utility,total_time,total_incidents,optimization_target,gamma
-19.20750682242994,0.5,0.0,1.0,0,114,-96037.5341121497,2500.0,5000,speed,0.05
-22.946867937945736,0.5,0.0,1.0,0,124,-114734.33968972869,2500.0,5000,accuracy,0.05
-21.985500132150808,0.5,0.0,1.0,0,119,-109927.50066075404,2500.0,5000,false_positive_rate,0.05
-21.152695675227303,0.5,0.0,1.0,0,115,-105763.47837613651,2500.0,5000,resource_efficiency,0.05
-21.775172088275376,0.5,0.0,1.0,0,132,-108875.86044137688,2500.0,5000,alert_volume,0.05
-10.347330351439014,1.1043605000000027,0.091,0.909,75,57,-51736.65175719507,5521.802500000013,5000,compliance,0.05
-16.649092521215362,0.5,0.0,1.0,0,120,-83245.4626060768,2500.0,5000,user_experience,0.05
-4.237502062907171,3.7959950000000195,0.4158,0.5842,89,7,-21187.510314535855,18979.975000000097,5000,cost,0.05
-5.062586206547728,1.3400665,0.117,0.883,68,26,-25312.93103273864,6700.3325,5000,coverage,0.05
-22.38456861924139,0.5,0.0,1.0,0,139,-111922.84309620694,2500.0,5000,automation,0.05
-20.834205051822796,0.5,0.0,1.0,0,107,-104171.02525911399,2500.0,5000,balanced,0.0
-8.47475,8.47475,1.0,0.0,98,0,-42373.75,42373.75,5000,balanced,0.03
-8.47475,8.47475,1.0,0.0,101,0,-42373.75,42373.75,5000,balanced,0.06
-8.47475,8.47475,1.0,0.0,100,0,-42373.75,42373.75,5000,balanced,0.09
