avg_utility,avg_time_per_incident,investigation_rate,dismiss_rate,caught_attacks,missed_attacks,total_utility,total_time,total_incidents,optimization_target,gamma
-65.0100235352282,0.5,0.0,1.0,0,3153,-2600400.941409128,20000.0,40000,speed,0.05
-66.08236467550935,0.5,0.0,1.0,0,3120,-2643294.587020374,20000.0,40000,accuracy,0.05
-65.66132668005245,0.5,0.0,1.0,0,3054,-2626453.067202098,20000.0,40000,false_positive_rate,0.05
-66.83363387396999,0.5,0.0,1.0,0,3137,-2673345.3549587997,20000.0,40000,resource_efficiency,0.05
-67.00744817546155,0.5,0.0,1.0,0,3242,-2680297.9270184617,20000.0,40000,alert_volume,0.05
-12.078859442674705,1.3240535625000005,0.1058,0.8942,462,555,-483154.37770698825,52962.14250000002,40000,compliance,0.05
-63.88909775442995,0.5,0.0,1.0,0,3112,-2555563.910177198,20000.0,40000,user_experience,0.05
-5.178374931186966,3.7655199999995856,0.408825,0.591175,724,75,-207134.99724747863,150620.79999998343,40000,cost,0.05
-11.876065576572474,1.3453383750000005,0.107975,0.892025,435,537,-475042.6230628989,53813.535000000025,40000,coverage,0.05
-67.50216927498853,0.5,0.0,1.0,0,3116,-2700086.7709995415,20000.0,40000,automation,0.05
-66.77819090335632,0.5,0.0,1.0,0,3130,-2671127.636134253,20000.0,40000,balanced,0.0
-5.624363138220902,4.809286374999336,0.5392,0.4608,470,42,-224974.5255288361,192371.45499997342,40000,balanced,0.03
-5.516062486303061,5.255024562499338,0.5949,0.4051,430,25,-220642.49945212243,210200.98249997353,40000,balanced,0.06
-8.49684375,8.49684375,1.0,0.0,413,0,-339873.75,339873.75,40000,balanced,0.09
