avg_utility,avg_time_per_incident,investigation_rate,dismiss_rate,caught_attacks,missed_attacks,total_utility,total_time,total_incidents,optimization_target,gamma
-29.241690596513195,0.5,0.0,1.0,0,346,-292416.90596513194,5000.0,10000,speed,0.05
-34.217689852843236,0.5,0.0,1.0,0,322,-342176.89852843236,5000.0,10000,accuracy,0.05
-28.64811315908868,0.5,0.0,1.0,0,325,-286481.1315908868,5000.0,10000,false_positive_rate,0.05
-28.774648675306427,0.5,0.0,1.0,0,334,-287746.48675306427,5000.0,10000,resource_efficiency,0.05
-24.24572962716168,0.5,0.0,1.0,0,320,-242457.2962716168,5000.0,10000,alert_volume,0.05
-11.351755371133502,1.2223409999999972,0.0999,0.9001,134,84,-113517.55371133501,12223.409999999973,10000,compliance,0.05
-21.069372482055844,0.5,0.0,1.0,0,324,-210693.72482055845,5000.0,10000,user_experience,0.05
-6.5038965863877465,3.76857275000004,0.4106,0.5894,181,30,-65038.96586387746,37685.7275000004,10000,cost,0.05
-8.064530777788528,1.3407440000000008,0.1141,0.8859,153,86,-80645.30777788527,13407.440000000008,10000,coverage,0.05
-29.108386828510348,0.5,0.0,1.0,0,327,-291083.86828510347,5000.0,10000,automation,0.05
-22.56368529709371,0.5,0.0,1.0,0,296,-225636.8529709371,5000.0,10000,balanced,0.0
-8.1416987999484,8.008823499999934,0.9402,0.0598,169,3,-81416.98799948402,80088.23499999935,10000,balanced,0.03
-8.487375,8.487375,1.0,0.0,148,0,-84873.75,84873.75,10000,balanced,0.06
-8.487375,8.487375,1.0,0.0,156,0,-84873.75,84873.75,10000,balanced,0.09
